,name,url,locations,website,28-06 jobs,28-06 employees
0,RCA Factory,https://www.welcometothejungle.co/fr/companies/rca-factory,Paris,https://www.rcafactory.com,1,16
1,Shipup,https://www.welcometothejungle.co/fr/companies/shipup,Paris,https://www.shipup.co,10,19
2,Bilberry,https://www.welcometothejungle.co/fr/companies/bilberry,Gentilly,https://www.bilberry.io,9,20
3,Ça Compte Pour Moi,https://www.welcometothejungle.co/fr/companies/ca-compte-pour-moi,Ramonville-Saint-Agne,https://www.cacomptepourmoi.fr,2,40
4,SchoolMouv,https://www.welcometothejungle.co/fr/companies/schoolmouv,Toulouse,https://www.schoolmouv.fr,4,40
5,The Agent,https://www.welcometothejungle.co/fr/companies/the-agent,Paris,https://www.theagent.com,5,35
6,Stampyt,https://www.welcometothejungle.co/fr/companies/stampyt,Nantes,https://www.stamp.yt,3,18
7,Green Soluce,https://www.welcometothejungle.co/fr/companies/green-soluce,Neuilly-Sur-Seine,https://www.greensoluce.com,4,20
8,VALTUS,https://www.welcometothejungle.co/fr/companies/valtus,Paris,https://www.valtus.fr,1,44
9,Smice,https://www.welcometothejungle.co/fr/companies/smice,Levallois-Perret,https://www.smice.com,3,15
10,Ombrea,https://www.welcometothejungle.co/fr/companies/ombrea,Aix-En-Provence,https://ombrea.fr,5,15
11,Smartrenting,https://www.welcometothejungle.co/fr/companies/smartrenting,Paris  Aix En Provence  Bordeaux  Lille  Lyon  Marseille  Montpellier  Nantes  Nice  Rennes  Strasbourg  Toulouse,https://smart-renting.com,39,38
12,Colonies,https://www.welcometothejungle.co/fr/companies/colonies,Paris  Berlin,https://www.livecolonies.com,4,18
13,Sevenhugs,https://www.welcometothejungle.co/fr/companies/sevenhugs,Paris  San Francisco,https://sevenhugs.com,15,30
14,Spallian,https://www.welcometothejungle.co/fr/companies/spallian,Paris,https://www.spallian.com,2,33
15,Vitaline,https://www.welcometothejungle.co/fr/companies/vitaline,Paris,https://vitaline.fr,13,16
16,Luko,https://www.welcometothejungle.co/fr/companies/luko,Paris,https://www.getluko.com,7,22
17,DigDash,https://www.welcometothejungle.co/fr/companies/digdash,Meyreuil  Paris,https://www.digdash.com,5,40
18,The Socialite Family,https://www.welcometothejungle.co/fr/companies/the-socialite-family,Paris,https://www.thesocialitefamily.com,2,15
